,anime_id,studios
852,37497,['P.A. Works']
853,44940,['Toei Animation']
854,40620,['Studio Blanc']
855,42916,['A-1 Pictures']
856,40784,[]
857,6372,['Production I.G']
858,18139,['Shin-Ei Animation']
859,26213,"['Kyoto Animation', 'Animation Do']"
860,781,['TMS Entertainment']
861,534,['E&G Films']
862,451,['Sunrise']
863,11013,['David Production']
864,2963,['Daume']
865,37475,['LIDENFILMS']
866,658,['Madhouse']
867,10588,['AIC ASTA']
868,16934,['Kyoto Animation']
869,11433,['J.C.Staff']
870,6773,['J.C.Staff']
871,5460,['Tokyo Movie Shinsha']
872,34100,['SILVER LINK.']
873,8841,['Studio Deen']
874,47257,['J.C.Staff']
875,11739,['J.C.Staff']
876,40215,['Fanworks']
877,4672,['Production I.G']
878,18507,"['Kyoto Animation', 'Animation Do']"
879,10067,['P.A. Works']
880,11113,['Production I.G']
881,535,['E&G Films']
882,32979,['Studio 3Hz']
883,7193,['Madhouse']
884,80,['Sunrise']
885,6864,['Production I.G']
886,905,['Toei Animation']
887,1686,['Pierrot']
888,26,['Madhouse']
889,240,['Palm Studio']
890,6637,['Production I.G']
891,182,['Sunrise']
892,38472,['Studio PuYUKAI']
893,145,"['Gainax', 'J.C.Staff']"
894,47790,"['SILVER LINK.', 'Studio Palette']"
895,36704,"['Kyoto Animation', 'Animation Do']"
896,33337,['Madhouse']
897,41461,['GEEK TOYS']
898,28,['Sunrise']
899,3731,['TMS Entertainment']
900,1363,['TMS Entertainment']
901,35079,['Lerche']
902,34984,['Wit Studio']
903,21469,"['Shirogumi', 'Shin-Ei Animation']"
904,37932,['Colored Pencil Animation']
905,37972,['8bit']
906,42625,['MAPPA']
907,31,"['Gainax', 'Production I.G']"
908,338,['Tokyo Movie Shinsha']
909,2026,['SynergySP']
910,177,['Bee Train']
911,48553,['CloverWorks']
912,28069,['A-1 Pictures']
913,1257,['Toei Animation']
914,2159,['A-1 Pictures']
915,31376,['J.C.Staff']
916,33028,['Lerche']
917,38594,['Science SARU']
918,51096,['Lerche']
919,19123,['Toei Animation']
920,10460,['J.C.Staff']
921,10589,['Pierrot']
922,32673,['LIDENFILMS']
923,39555,['TMS Entertainment']
924,24151,['Production I.G']
925,42250,"['Bones', 'Nomad']"
926,4918,['Production I.G']
927,464,['Toei Animation']
928,779,['TMS Entertainment']
929,28979,['Xebec']
930,9760,['CoMix Wave Films']
931,2889,['Pierrot']
932,14345,['Madhouse']
933,30347,['A-1 Pictures']
934,12883,['A-1 Pictures']
935,6467,['Tokyo Movie Shinsha']
936,34544,['Wit Studio']
937,10937,['Sunrise']
938,6377,['Shaft']
939,23777,['Wit Studio']
940,4192,['J.C.Staff']
941,2397,['Toei Animation']
942,38409,['AHA Entertainment']
943,30415,['Kyoto Animation']
944,19703,['Toei Animation']
945,30778,['A-1 Pictures']
946,13655,['J.C.Staff']
947,23251,['TMS Entertainment']
948,38816,['Graphinica']
949,20541,['Doga Kobo']
950,3712,['J.C.Staff']
951,9471,['SILVER LINK.']
952,1023,['Bones']
953,25649,['Studio Deen']
954,856,['OLM']
955,962,['Hal Film Maker']
956,45055,['SynergySP']
957,23385,['Kyoto Animation']
958,2961,['Toei Animation']
959,40908,['Ajia-Do']
960,4182,['Bones']
961,1367,['TMS Entertainment']
962,8246,['Pierrot']
963,4177,['Bones']
964,38793,['8bit']
965,5204,['ufotable']
966,450,['Sunrise']
967,33323,['TMS Entertainment']
968,10568,['J.C.Staff']
